"Country or Area","Year(s)","Variant","Value"
"China","2018","High","1421713.056"
"China","2008","High","1344415.227"
"China","1998","High","1267441.503"
"China","1988","High","1132866.344"
"China","1978","High","966039.822"
"France","2018","High","65484.416"
"France","2008","High","62329.567"
"France","1998","High","59034.921"
"France","1988","High","56348.214"
"France","1978","High","53696.453"
"India","2018","High","1360616.448"
"India","2008","High","1197146.906"
"India","1998","High","1015974.042"
"India","1988","High","834489.322"
"India","1978","High","665502.284"
"Portugal","2018","High","10334.191"
"Portugal","2008","High","10652.099"
"Portugal","1998","High","10272.286"
"Portugal","1988","High","9956.672"
"Portugal","1978","High","9605.593"
"Singapore","2018","High","5830.663"
"Singapore","2008","High","4851.109"
"Singapore","1998","High","3731.440"
"Singapore","1988","High","2876.892"
"Singapore","1978","High","2341.429"
"Spain","2018","High","46660.539"
"Spain","2008","High","45997.806"
"Spain","1998","High","40292.642"
"Spain","1988","High","39141.605"
"Spain","1978","High","37137.704"
"Sweden","2018","High","10022.857"
"Sweden","2008","High","9236.890"
"Sweden","1998","High","8870.848"
"Sweden","1988","High","8464.787"
"Sweden","1978","High","8277.414"
"Switzerland","2018","High","8575.880"
"Switzerland","2008","High","7646.113"
"Switzerland","1998","High","7115.127"
"Switzerland","1988","High","6572.266"
"Switzerland","1978","High","6321.535"
"United Kingdom","2018","High","66849.832"
"United Kingdom","2008","High","62076.221"
"United Kingdom","1998","High","58544.938"
"United Kingdom","1988","High","56862.893"
"United Kingdom","1978","High","56263.661"
"United States of America","2018","High","328093.061"
"United States of America","2008","High","303374.067"
"United States of America","1998","High","275542.603"
"United States of America","1988","High","247739.582"
"United States of America","1978","High","225449.657"

